"","Rat","CatLH","PR","Local.Rate_mu","Local.Rate_sigma","Bn_predictions_mu","Bn_predictions_sigma","RatLabel"
"308",9,18,18,0.3637678334,0.245932395690552,0.390556741162525,0,"Rat #9"
"309",9,18,21,0.2857651618,0.0187783397328454,0.368780031457765,0,"Rat #9"
"310",9,18,24,0.5115851164,0.325669256002974,0.346857083310434,0,"Rat #9"
"311",9,18,27,0.2870992708,0.120415942811723,0.325957840373446,0,"Rat #9"
"312",9,18,30,0.2147159102,0.0918200661392738,0.30654592013245,0,"Rat #9"
"313",9,18,33,0.2819132726,0.122861365253017,0.288743647135089,0,"Rat #9"
"314",9,18,36,0.2852173728,0.108621879624143,0.272513340797734,0,"Rat #9"
"315",9,18,39,0.3207163792,0.138942222086467,0.257747617889813,0,"Rat #9"
"316",9,18,42,0.2146313932,0.0461125382749627,0.244314203521236,0,"Rat #9"
"317",9,18,45,0.376763374,0.346373953283167,0.232077754072385,0,"Rat #9"
"318",9,18,48,0.38295351625,0.347967032209411,0.22090998112123,0,"Rat #9"
"319",9,18,51,0.3690241115,0.00228455382267624,0.210693822998129,0,"Rat #9"
"320",9,18,54,0.253703825,0.0459763643412482,0.201324625513059,0,"Rat #9"
"321",9,18,57,0.132904309,NA,0.192709870228906,NA,"Rat #9"
"322",9,18,60,1.156515035,NA,0.184768250410203,NA,"Rat #9"
"323",10,1,3,0.490657776,0.178852112078725,0.298628721346675,0,"Rat #10"
"324",10,1,6,0.4515946156,0.0695804000807402,0.492799699953127,0,"Rat #10"
"325",10,1,9,0.4574724802,0.162342711047814,0.582231202591036,0,"Rat #10"
